higherGeography,materialSampleID,station_old,station
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0056,jabal_mugarsum,Jabal Mugarsum
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0057,actof_dongunab,Actof Dongunab
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0108,actof_dongunab,Actof Dongunab
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0113,actof_dongunab,Actof Dongunab
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0114,jabal_mugarsum,Jabal Mugarsum
Sanganeb Marine National Park and Dungonab Bay \u2013 Mukkawar Island Marine National Park,EE0116,guba_khamsa,Guba Khamsa
"Shark Bay, Western Australia",EE0043,fowlers_camp,Fowlers Camp
"Shark Bay, Western Australia",EE0044,fowlers_camp,Fowlers Camp
"Shark Bay, Western Australia",EE0045,monkey_mia,Monkey Mia
"Shark Bay, Western Australia",EE0046,petit_point,Petit Point
"Shark Bay, Western Australia",EE0047,fowlers_camp,Fowlers Camp
"Shark Bay, Western Australia",EE0061,sandy_bay,Sandy Bay
"Shark Bay, Western Australia",EE0062,debault_creek,Debault Creek
"Shark Bay, Western Australia",EE0063,fowlers_camp,Fowlers Camp
"Shark Bay, Western Australia",EE0072,debault_creek,Debault Creek
"Shark Bay, Western Australia",EE0078,sandy_bay,Sandy Bay
"Shark Bay, Western Australia",EE0082,debault_creek,Debault Creek
"Shark Bay, Western Australia",EE0086,petit_point,Petit Point
"Shark Bay, Western Australia",EE0094,fowlers_camp,Fowlers Camp
"Shark Bay, Western Australia",EE0097,monkey_mia,Monkey Mia
"Shark Bay, Western Australia",EE0107,sandy_bay,Sandy Bay
"Shark Bay, Western Australia",EE0119,petit_point,Petit Point
"Shark Bay, Western Australia",EE0120,monkey_mia,Monkey Mia
"Shark Bay, Western Australia",EE0122,debault_creek,Debault Creek
"Shark Bay, Western Australia",EE0123,sandy_bay,Sandy Bay
"Shark Bay, Western Australia",EE0124,petit_point,Petit Point
Socotra Archipelago,EE0524,shoeb_lagoon,Shoeb Lagoon
Socotra Archipelago,EE0526,di_hamri,Di Hamri
Socotra Archipelago,EE0528,roosh_mpa,Roosh Mpa
Socotra Archipelago,EE0531,ditwh_pa,Ditwh Pa
Socotra Archipelago,EE0537,di_hamri,Di Hamri
Socotra Archipelago,EE0539,qariah,Qariah
Socotra Archipelago,EE0541,mahfarhin_qasharihan_mpa,Mahfarhin Qasharihan Mpa
The Sundarbans,EE0330,sundarbans_5,Sundarbans 5
The Sundarbans,EE0331,sundarbans_3,Sundarbans 3
The Sundarbans,EE0332,sundarbans_2,Sundarbans 2
The Sundarbans,EE0333,sundarbans_6,Sundarbans 6
The Sundarbans,EE0334,sundarbans_5,Sundarbans 5
The Sundarbans,EE0336,sundarbans_5,Sundarbans 5
The Sundarbans,EE0337,sundarbans_3,Sundarbans 3
The Sundarbans,EE0338,sundarbans_3,Sundarbans 3
The Sundarbans,EE0339,sundarbans_1,Sundarbans 1
The Sundarbans,EE0344,sundarbans_2,Sundarbans 2
The Sundarbans,EE0345,sundarbans_1,Sundarbans 1
The Sundarbans,EE0347,sundarbans_1,Sundarbans 1
The Sundarbans,EE0348,sundarbans_4,Sundarbans 4
The Sundarbans,EE0350,sundarbans_5,Sundarbans 5
The Sundarbans,EE0351,sundarbans_2,Sundarbans 2
The Sundarbans,EE0360,sundarbans_2,Sundarbans 2
The Sundarbans,EE0361,sundarbans_4,Sundarbans 4
The Sundarbans,EE0362,sundarbans_4,Sundarbans 4
The Sundarbans,EE0363,sundarbans_4,Sundarbans 4
The Sundarbans,EE0364,sundarbans_1,Sundarbans 1
The Sundarbans,EE0365,sundarbans_3,Sundarbans 3
Tubbataha Reefs Natural Park,EE0048,south_atoll_lagoon,South Atoll Lagoon
Tubbataha Reefs Natural Park,EE0051,new_bird_islet,New Bird Islet
Tubbataha Reefs Natural Park,EE0053,new_bird_islet,New Bird Islet
Tubbataha Reefs Natural Park,EE0055,new_bird_islet,New Bird Islet
Tubbataha Reefs Natural Park,EE0058,south_atoll_lagoon,South Atoll Lagoon
Tubbataha Reefs Natural Park,EE0059,new_bird_islet,New Bird Islet
Tubbataha Reefs Natural Park,EE0099,kook_south_atoll,Kook South Atoll
Tubbataha Reefs Natural Park,EE0103,twreck_south_atoll,Twreck South Atoll
Tubbataha Reefs Natural Park,EE0104,north_east_malayan_reef,North East Malayan Reef
Tubbataha Reefs Natural Park,EE0109,south_park,South Park
Tubbataha Reefs Natural Park,EE0110,south_park,South Park
Tubbataha Reefs Natural Park,EE0112,south_atoll_lagoon,South Atoll Lagoon
Tubbataha Reefs Natural Park,EE0117,south_park,South Park
Tubbataha Reefs Natural Park,EE0118,north_east_malayan_reef,North East Malayan Reef
Tubbataha Reefs Natural Park,EE0125,twreck_south_atoll,Twreck South Atoll
Tubbataha Reefs Natural Park,EE0432,kook_south_atoll,Kook South Atoll
Tubbataha Reefs Natural Park,EE0438,south_park,South Park
Tubbataha Reefs Natural Park,EE0439,north_east_malayan_reef,North East Malayan Reef
Tubbataha Reefs Natural Park,EE0444,north_east_malayan_reef,North East Malayan Reef
Tubbataha Reefs Natural Park,EE0452,south_atoll_lagoon,South Atoll Lagoon
Wadden Sea,EE0066,neuwerk,Neuwerk
Wadden Sea,EE0067,neuwerk,Neuwerk
Wadden Sea,EE0068,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0069,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0070,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0071,hjerting,Hjerting
Wadden Sea,EE0074,neuwerk,Neuwerk
Wadden Sea,EE0075,schleswig_holstein,Schleswig Holstein
Wadden Sea,EE0076,schleswig_holstein,Schleswig Holstein
Wadden Sea,EE0077,schleswig_holstein,Schleswig Holstein
Wadden Sea,EE0080,schleswig_holstein,Schleswig Holstein
Wadden Sea,EE0081,den_oever,Den Oever
Wadden Sea,EE0085,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0088,neuwerk,Neuwerk
Wadden Sea,EE0089,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0090,hjerting,Hjerting
Wadden Sea,EE0091,hjerting,Hjerting
Wadden Sea,EE0092,den_oever,Den Oever
Wadden Sea,EE0093,den_oever,Den Oever
Wadden Sea,EE0095,hjerting,Hjerting
Wadden Sea,EE0096,hjerting,Hjerting
Wadden Sea,EE0105,den_oever,Den Oever
Wadden Sea,EE0126,neuwerk,Neuwerk
Wadden Sea,EE0194,den_oever,Den Oever
Wadden Sea,EE0195,neuwerk,Neuwerk
Wadden Sea,EE0196,hjerting,Hjerting
Wadden Sea,EE0197,hjerting,Hjerting
Wadden Sea,EE0198,hjerting,Hjerting
Wadden Sea,EE0210,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0211,neuwerk,Neuwerk
Wadden Sea,EE0212,neuwerk,Neuwerk
Wadden Sea,EE0213,hjerting,Hjerting
Wadden Sea,EE0222,den_oever,Den Oever
Wadden Sea,EE0223,den_oever,Den Oever
Wadden Sea,EE0224,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0226,neuwerk,Neuwerk
Wadden Sea,EE0227,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0228,wilhelmshaven,Wilhelmshaven
Wadden Sea,EE0522,den_oever,Den Oever
Wadden Sea,EE0529,den_oever,Den Oever
iSimangaliso Wetland Park,EE0371,st_lucia_lake,St Lucia Lake
iSimangaliso Wetland Park,EE0372,bhanga_neck,Bhanga Neck
